transaction_id,account_id,customer_name,transaction_type,amount,transaction_date,branch,city,balance_after,customer_age,account_type
1,105305,John Sarker,Online Purchase,38664.92,2022-07-12,Uttara,Dhaka,113265.37,55,Savings
2,114904,Hasan Johnson,Deposit,43352.97,2023-05-08,Dhanmondi,Dhaka,112106.43,53,Current
3,100968,James Chowdhury,Withdrawal,1623.95,2022-05-07,Sylhet Main,Sylhet,21937.9,55,Current
4,100812,Sara Khan,ATM Withdrawal,7283.9,2022-10-23,Rajshahi Main,Rajshahi,41465.92,25,Fixed Deposit
5,105054,Mim Smith,Deposit,623.93,2024-02-02,Dhanmondi,Dhaka,37990.24,53,Fixed Deposit
6,101028,James Khan,ATM Withdrawal,6850.6,2024-05-25,Uttara,Dhaka,167177.56,47,Fixed Deposit
7,107424,Emma Hossain,Withdrawal,18497.78,2023-05-15,Dhanmondi,Dhaka,0,54,Current
8,108604,Linda Akter,Online Purchase,7602.29,2022-05-30,Dhanmondi,Dhaka,105979.98,50,Current
9,102702,Rakib Akter,Withdrawal,26438.87,2025-09-30,Dhanmondi,Dhaka,54436.43,66,Fixed Deposit
10,109388,Jannat Akter,Transfer,5309.47,2025-04-02,Khulna Main,Khulna,4112.73,22,Savings
11,104422,Linda Ahmed,Deposit,23466.72,2025-03-29,Comilla Main,Comilla,28713.02,70,Current
12,104662,William Sarker,Online Purchase,8508.2,2023-12-29,Motijheel,Dhaka,196922.62,57,Savings
13,108088,Karim Johnson,Loan Payment,17868.01,2024-03-25,Banani,Dhaka,175548.55,73,Current
14,101320,Mary Das,Bill Payment,17708.13,2026-08-05,Banani,Dhaka,41979.2,73,Fixed Deposit
15,104561,William Talukder,Transfer,6078.65,2023-04-18,Motijheel,Dhaka,26456.77,23,Savings
16,102478,Sara Williams,Deposit,2056.3,2023-06-23,GEC Circle,Chattogram,87549.75,18,Savings
17,106864,Mim Miah,ATM Withdrawal,4247.7,2025-11-15,Rajshahi Main,Rajshahi,19907.76,57,Fixed Deposit
18,111078,Sophia Khan,Bill Payment,33171.55,2025-10-25,Rajshahi Main,Rajshahi,18383.81,43,Current
19,106536,Tanvir Chowdhury,Bill Payment,8525.59,2022-05-18,Agrabad,Chattogram,63927.71,46,Savings
20,101801,Michael Khan,Deposit,36954.53,2022-07-27,Uttara,Dhaka,80050.37,57,Savings
21,101152,David Sarker,Withdrawal,12949.72,2025-05-18,Uttara,Dhaka,0,48,Savings
22,101889,Linda Das,Bill Payment,5775.93,2022-07-29,Barisal Main,Barisal,82578.21,39,Fixed Deposit
23,104337,Linda Smith,ATM Withdrawal,14920.22,2024-12-17,Uttara,Dhaka,101307.97,27,Fixed Deposit
24,108899,Rahim Sheikh,Transfer,41753.42,2025-11-26,GEC Circle,Chattogram,63879.42,51,Current
25,114880,Mary Miah,Loan Payment,29749.36,2024-10-26,Uttara,Dhaka,153844.87,58,Savings
26,110047,Jannat Johnson,Loan Payment,26848.45,2026-07-04,Agrabad,Chattogram,140578.85,30,Fixed Deposit
27,108073,Emma Islam,Deposit,31139.02,2023-02-01,Barisal Main,Barisal,14308.05,56,Current
28,107327,Jannat Miah,Transfer,18190.9,2024-08-20,Agrabad,Chattogram,93501.47,39,Savings
29,107907,Olivia Islam,Bill Payment,23692.47,2025-08-10,Dhanmondi,Dhaka,50244.46,71,Fixed Deposit
30,101964,Tanvir Johnson,Bill Payment,24366.11,2025-07-26,Uttara,Dhaka,38894.17,23,Fixed Deposit
31,106485,Robert Sarker,Online Purchase,34862.1,2022-12-15,Motijheel,Dhaka,48377.17,19,Savings
32,109679,Robert Rahman,ATM Withdrawal,10384.08,2025-09-08,Uttara,Dhaka,0,27,Fixed Deposit
33,108983,John Islam,Deposit,35326.27,2022-07-30,Rajshahi Main,Rajshahi,0,65,Savings
34,107107,David Johnson,Deposit,25308.01,2023-05-08,Sylhet Main,Sylhet,129957.44,38,Current
35,108918,Priya Rahman,Deposit,41281.14,2024-07-27,Comilla Main,Comilla,49962.08,55,Fixed Deposit
36,106891,Hasan Rahman,ATM Withdrawal,7965.69,2024-06-20,Motijheel,Dhaka,138507.53,56,Savings
37,112714,Jannat Rahman,Withdrawal,25226.66,2022-09-04,Rajshahi Main,Rajshahi,144750.66,21,Current
38,111179,Hasan Sheikh,ATM Withdrawal,2082.4,2025-02-21,Gulshan,Dhaka,91405.88,33,Savings
39,104537,Karim Chowdhury,ATM Withdrawal,4291.63,2022-05-10,Khulna Main,Khulna,84222.15,38,Fixed Deposit
40,108282,Olivia Sheikh,Withdrawal,6303.96,2024-12-28,Khulna Main,Khulna,18374.55,50,Savings
41,111455,Hasan Brown,ATM Withdrawal,7303.24,2024-07-05,Motijheel,Dhaka,54807.67,44,Savings
42,106428,Robert Akter,Deposit,15445.23,2023-03-12,Comilla Main,Comilla,24175.13,37,Savings
43,114696,Rakib Rahman,Online Purchase,3211.02,2023-06-03,Motijheel,Dhaka,35067.34,47,Savings
44,112233,Ayesha Sarker,Bill Payment,23700.81,2023-04-04,Motijheel,Dhaka,156039.37,63,Current
45,108447,Tanvir Akter,Bill Payment,16492.03,2026-01-18,Uttara,Dhaka,129523.09,19,Current
46,109077,Robert Das,Online Purchase,25475.09,2025-07-01,GEC Circle,Chattogram,86104.59,50,Savings
47,101848,Jannat Williams,Deposit,39262.22,2026-05-15,Motijheel,Dhaka,104089.32,35,Savings
48,113431,Priya Brown,Bill Payment,31983.58,2025-03-14,Khulna Main,Khulna,188560.37,62,Current
49,101465,Ahmed Khan,Loan Payment,17530.39,2022-05-29,GEC Circle,Chattogram,21547.35,19,Fixed Deposit
50,101451,Jannat Brown,Deposit,14466.67,2023-06-26,Dhanmondi,Dhaka,53249.79,47,Savings
51,105556,Mim Talukder,Transfer,8883.0,2025-12-24,Agrabad,Chattogram,67654.32,25,Savings
52,104290,Karim Smith,Withdrawal,31329.51,2024-12-23,Agrabad,Chattogram,45122.8,36,Current
53,108193,Sultana Smith,Transfer,10455.94,2023-05-28,Gulshan,Dhaka,89419.65,18,Savings
54,112010,Hasan Uddin,Withdrawal,881.27,2024-07-04,Dhanmondi,Dhaka,75975.62,60,Fixed Deposit
55,107080,Sultana Roy,ATM Withdrawal,7226.53,2024-11-03,GEC Circle,Chattogram,28314.22,62,Savings
56,103761,Michael Johnson,Loan Payment,49320.48,2022-10-14,Banani,Dhaka,14504.17,40,Savings
57,113713,John Islam,Deposit,4531.79,2024-06-01,Motijheel,Dhaka,0,21,Savings
58,110899,Tanvir Sheikh,Online Purchase,32034.9,2025-11-19,GEC Circle,Chattogram,65271.22,20,Current
59,103036,Mary Brown,Bill Payment,26370.42,2023-11-05,Rajshahi Main,Rajshahi,81299.53,38,Savings
60,100564,Nusrat Johnson,Transfer,17643.61,2022-06-21,Khulna Main,Khulna,129490.09,35,Fixed Deposit
61,110748,David Williams,ATM Withdrawal,5486.51,2026-08-01,Dhanmondi,Dhaka,54167.68,27,Current
62,109614,Karim Sarker,Deposit,16848.39,2022-06-23,Sylhet Main,Sylhet,160489.39,51,Savings
63,110773,William Sarker,Loan Payment,2125.5,2022-11-03,GEC Circle,Chattogram,234041.37,64,Fixed Deposit
64,110538,John Khan,Loan Payment,47042.95,2025-07-08,Banani,Dhaka,0,64,Fixed Deposit
65,113307,Hasan Rahman,ATM Withdrawal,5293.42,2026-07-23,Gulshan,Dhaka,2223.36,70,Fixed Deposit
66,109569,Jannat Williams,Deposit,35984.98,2024-01-09,Dhanmondi,Dhaka,86238.4,42,Current
67,109150,Karim Islam,Online Purchase,1084.46,2023-06-25,Gulshan,Dhaka,71179.69,47,Savings
68,112259,Hasan Uddin,Deposit,21510.84,2026-02-17,Khulna Main,Khulna,61324.47,34,Savings
69,113863,Ahmed Williams,Online Purchase,12539.61,2025-08-24,Khulna Main,Khulna,36576.26,49,Current
70,101257,Linda Hossain,Loan Payment,52597.68,2023-02-11,Dhanmondi,Dhaka,104588.87,56,Savings
